id,name,parent_id
1,レディース,0
2,トップス,1
3,Tシャツ/カットソー(半袖/袖なし),2
4,Tシャツ/カットソー(七分/長袖),2
5,シャツ/ブラウス(半袖/袖なし),2
6,シャツ/ブラウス(七分/長袖),2
7,ポロシャツ,2
8,キャミソール,2
9,タンクトップ,2
10,ホルターネック,2
11,ニット/セーター,2
12,チュニック,2
13,カーディガン/ボレロ,2
14,アンサンブル,2
15,ベスト/ジレ,2
16,パーカー,2
17,トレーナー/スウェット,2
18,ベアトップ/チューブトップ,2
19,ジャージ,2
20,その他,2
21,ジャケット/アウター,1
22,テーラードジャケット,21
23,ノーカラージャケット,21
24,Gジャン/デニムジャケット,21
25,レザージャケット,21
26,ダウンジャケット,21
27,ライダースジャケット,21
28,ミリタリージャケット,21
29,ダウンベスト,21
30,ジャンパー/ブルゾン,21
31,ポンチョ,21
32,ロングコート,21
33,トレンチコート,21
34,ダッフルコート,21
35,ピーコート,21
36,チェスターコート,21
37,モッズコート,21
38,スタジャン,21
39,毛皮/ファーコート,21
40,スプリングコート,21
41,スカジャン,21
42,その他,21
43,パンツ,1
44,デニム/ジーンズ,43
45,ショートパンツ,43
46,カジュアルパンツ,43
47,ハーフパンツ,43
48,チノパン,43
49,ワークパンツ/カーゴパンツ,43
50,クロップドパンツ,43
51,サロペット/オーバーオール,43
52,オールインワン,43
53,サルエルパンツ,43
54,ガウチョパンツ,43
55,その他,43
56,スカート,1
57,ミニスカート,56
58,ひざ丈スカート,56
59,ロングスカート,56
60,キュロット,56
61,その他,56
62,ワンピース,1
63,ミニワンピース,62
64,ひざ丈ワンピース,62
65,ロングワンピース,62
66,その他,62
67,靴,1
68,ハイヒール/パンプス,67
69,ブーツ,67
70,サンダル,67
71,スニーカー,67
72,ミュール,67
73,モカシン,67
74,ローファー/革靴,67
75,フラットシューズ/バレエシューズ,67
76,長靴/レインシューズ,67
77,その他,67
78,ルームウェア/パジャマ,1
79,パジャマ,78
80,ルームウェア,78
81,レッグウェア,1
82,ソックス,81
83,スパッツ/レギンス,81
84,ストッキング/タイツ,81
85,レッグウォーマー,81
86,その他,81
87,帽子,1
88,ニットキャップ/ビーニー,87
89,ハット,87
90,ハンチング/ベレー帽,87
91,キャップ,87
92,キャスケット,87
93,麦わら帽子,87
94,その他,87
95,バッグ,1
96,ハンドバッグ,95
97,トートバッグ,95
98,エコバッグ,95
99,リュック/バックパック,95
100,ボストンバッグ,95
101,スポーツバッグ,95
102,ショルダーバッグ,95
103,クラッチバッグ,95
104,ポーチ/バニティ,95
105,ボディバッグ/ウェストバッグ,95
106,マザーズバッグ,95
107,メッセンジャーバッグ,95
108,ビジネスバッグ,95
109,旅行用バッグ/キャリーバッグ,95
110,ショップ袋,95
111,和装用バッグ,95
112,かごバッグ,95
113,その他,95
114,アクセサリー,1
115,ネックレス,114
116,ブレスレット,114
117,バングル/リストバンド,114
118,リング,114
119,ピアス(片耳用),114
120,ピアス(両耳用),114
121,イヤリング,114
122,アンクレット,114
123,ブローチ/コサージュ,114
124,チャーム,114
125,その他,114
126,ヘアアクセサリー,1
127,ヘアゴム/シュシュ,127
128,ヘアバンド/カチューシャ,127
129,ヘアピン,127
130,その他,127
131,小物,
132,長財布,132
133,折り財布,132
134,コインケース/小銭入れ,132
135,名刺入れ/定期入れ,132
136,キーケース,132
137,キーホルダー,132
138,手袋/アームカバー,132
139,ハンカチ,132
140,ベルト,132
141,マフラー/ショール,132
142,ストール/スヌード,132
143,バンダナ/スカーフ,132
144,ネックウォーマー,132
145,サスペンダー,132
146,サングラス/メガネ,132
147,モバイルケース/カバー,132
148,手帳,132
149,イヤマフラー,132
150,傘,132
151,レインコート/ポンチョ,132
152,ミラー,132
153,タバコグッズ,132
154,その他,132
155,時計,1
156,腕時計(アナログ),155
157,腕時計(デジタル),155
158,ラバーベルト,155
159,レザーベルト,155
160,金属ベルト,155
161,その他,155
162,ウィッグ/エクステ,1
163,前髪ウィッグ,162
164,ロングストレート,162
165,ロングカール,162
166,ショートストレート,162
167,ショートカール,162
168,その他,162
169,浴衣/水着,1
170,浴衣,169
171,着物,169
172,振袖,169
173,長襦袢/半襦袢,169
174,水着セパレート,169
175,水着ワンピース,169
176,水着スポーツ用,169
177,その他,169
178,スーツ/フォーマル/ドレス,1
179,スカートスーツ上下,178
180,パンツスーツ上下,178
181,ドレス,178
182,パーティーバッグ,178
183,シューズ,178
184,ウェディング,178
185,その他,178
186,マタニティ,1
187,トップス,186
188,アウター,186
189,インナー,186
190,ワンピース,186
191,パンツ/スパッツ,186
192,スカート,186
193,パジャマ,186
194,授乳服,186
195,その他,186
196,その他,1
197,コスプレ,196
198,下着,196
199,その他,196
200,メンズ,0
201,トップス,200
202,すべて,201
203,Tシャツ/カットソー(半袖/袖なし),201
204,Tシャツ/カットソー(七分/長袖),201
205,シャツ,201
206,ポロシャツ,201
207,タンクトップ,201
208,ニット/セーター,201
209,パーカー,201
210,カーディガン,201
211,スウェット,201
212,ジャージ,201
213,ベスト,201
214,その他,201
215,ジャケット/アウター,200
216,すべて,215
217,テーラードジャケット,215
218,ノーカラージャケット,215
219,Gジャン/デニムジャケット,215
220,レザージャケット,215
221,ダウンジャケット,215
222,ライダースジャケット,215
223,ミリタリージャケット,215
224,ナイロンジャケット,215
225,フライトジャケット,215
226,ダッフルコート,215
227,ピーコート,215
228,ステンカラーコート,215
229,トレンチコート,215
230,モッズコート,215
231,チェスターコート,215
232,スタジャン,215
233,スカジャン,215
234,ブルゾン,215
235,マウンテンパーカー,215
236,ダウンベスト,215
237,ポンチョ,215
238,カバーオール,215
239,その他,215
240,パンツ,200
241,すべて,240
242,デニム/ジーンズ,240
243,ワークパンツ/カーゴパンツ,240
244,スラックス,240
245,チノパン,240
246,ショートパンツ,240
247,ペインターパンツ,240
248,サルエルパンツ,240
249,オーバーオール,240
250,その他,240
251,靴,200
252,すべて,251
253,スニーカー,251
254,サンダル,251
255,ブーツ,251
256,モカシン,251
257,ドレス/ビジネス,251
258,長靴/レインシューズ,251
259,デッキシューズ,251
260,その他,251
261,バッグ,200
262,すべて,261
263,ショルダーバッグ,261
264,トートバッグ,261
265,ボストンバッグ,261
266,リュック/バックパック,261
267,ウエストポーチ,261
268,ボディーバッグ,261
269,ドラムバッグ,261
270,ビジネスバッグ,261
271,トラベルバッグ,261
272,メッセンジャーバッグ,261
273,エコバッグ,261
274,その他,261
275,スーツ,200
276,すべて,275
277,スーツジャケット,275
278,スーツベスト,275
279,スラックス,275
280,セットアップ,275
281,その他,275
282,帽子,200
283,すべて,283
284,キャップ,283
285,ハット,283
286,ニットキャップ/ビーニー,283
287,ハンチング/ベレー帽,283
288,キャスケット,283
289,サンバイザー,283
290,その他,283
291,アクセサリー,200
292,すべて,291
293,ネックレス,291
294,ブレスレット,291
295,バングル/リストバンド,291
296,リング,291
297,ピアス(片耳用),291
298,ピアス(両耳用),291
299,アンクレット,291
300,その他,291
301,小物,200
302,すべて,301
303,長財布,301
304,折り財布,301
305,マネークリップ,301
306,コインケース/小銭入れ,301
307,名刺入れ/定期入れ,301
308,キーケース,301
309,キーホルダー,301
310,ネクタイ,301
311,手袋,301
312,ハンカチ,301
313,ベルト,301
314,マフラー,301
315,ストール,301
316,バンダナ,301
317,ネックウォーマー,301
318,サスペンダー,301
319,ウォレットチェーン,301
320,サングラス/メガネ,301
321,モバイルケース/カバー,301
322,手帳,301
323,ストラップ,301
324,ネクタイピン,301
325,カフリンクス,301
326,イヤマフラー,301
327,傘,301
328,レインコート,301
329,ミラー,301
330,タバコグッズ,301
331,その他,301
332,時計,200
333,すべて,332
334,腕時計(アナログ),332
335,腕時計(デジタル),332
336,ラバーベルト,332
337,レザーベルト,332
338,金属ベルト,332
339,その他,332
340,水着,200
341,すべて,340
342,一般水着,340
343,スポーツ用,340
344,アクセサリー,340
345,その他,340
346,レッグウェア,200
347,すべて,346
348,ソックス,346
349,レギンス/スパッツ,346
350,レッグウォーマー,346
351,その他,346
352,アンダーウェア,200
353,すべて,353
354,トランクス,353
355,ボクサーパンツ,353
356,その他,353
357,その他,200
358,すべて,357
359,ベビー・キッズ,0
360,ベビー服(女の子用) ~95cm,359
361,すべて,360
362,トップス,360
363,アウター,360
364,パンツ,360
365,スカート,360
366,ワンピース,360
367,ベビードレス,360
368,おくるみ,360
369,下着/肌着,360
370,パジャマ,360
371,ロンパース,360
372,その他,360
373,ハロウィン,360
